UserID,Time,XPos,ZPos
testid,17.49965,-5.717203E-05,-8.336455E-05
testid,17.70991,-5.717203E-05,-8.336455E-05
testid,17.92022,-5.717203E-05,-8.336455E-05
testid,18.14269,-5.717203E-05,-8.336455E-05
testid,18.35365,-5.717203E-05,-8.336455E-05
testid,18.57484,-5.717203E-05,-8.336455E-05
testid,18.80053,1.013141,0.8933206
testid,19.01741,1.013141,0.8933206
testid,19.23186,1.013141,0.8933206
testid,19.43992,1.013141,0.8933206
testid,19.66608,1.01314,0.8933198
testid,19.88361,1.01314,0.8933195
testid,20.10028,1.01314,0.8933203
testid,20.31729,1.013139,0.893319
testid,20.53934,1.013138,0.893316
testid,20.75067,1.013137,0.8933154
testid,20.96866,1.743399,1.675343
testid,21.18163,1.743399,1.675343
testid,21.39976,1.743398,1.675341
testid,21.61991,1.743398,1.675341
testid,21.83319,1.743398,1.675341
testid,22.0559,1.743398,1.675341
testid,22.27401,1.743398,1.675341
testid,22.49424,-0.4745089,1.963752
testid,22.70894,-0.4745089,1.963752
testid,22.92464,-0.4745089,1.963752
testid,23.14487,-0.4745089,1.963752
testid,23.35645,-0.4745088,1.963751
testid,23.57193,-0.4745089,1.963751
testid,23.78401,-0.4745089,1.963751
testid,24.00023,-0.4745089,1.963751
testid,24.21967,-1.675845,2.315951
testid,24.44355,-1.675845,2.315951
testid,24.65113,-1.675845,2.315951
testid,24.87078,-1.675845,2.315951
testid,25.10312,-1.675845,2.315951
testid,25.3385,-1.675845,2.315951
testid,25.55181,-1.675845,2.315951
testid,25.76188,-1.675845,2.315951
testid,25.98271,-1.675845,2.315951
testid,26.19824,-1.675845,2.315951
testid,26.40589,-1.675845,2.315951
testid,26.64172,-1.675845,2.315951
testid,26.86159,-1.675845,2.315951
testid,27.09922,-1.675845,2.315951
testid,27.31321,-1.675845,2.315951
testid,27.52748,0.9444659,-1.227545
testid,27.75065,0.9444659,-1.227545
testid,27.9683,0.9444659,-1.227545
testid,28.19617,0.9444659,-1.227545
testid,28.41988,1.724598,-2.091902
testid,28.64456,1.724598,-2.091902
testid,28.86018,1.724597,-2.091902
testid,29.09295,1.724597,-2.091902
testid,29.32238,1.724597,-2.091902
testid,29.53856,1.724597,-2.091902
testid,29.75522,1.724597,-2.091902
testid,29.97258,1.724597,-2.091902
testid,30.21033,1.724597,-2.091902
testid,30.43713,1.724597,-2.091902
testid,30.6503,1.724597,-2.091902
testid,30.87099,1.724597,-2.091902
testid,31.11982,1.724597,-2.091902
testid,31.33492,-1.044536,-3.001146
testid,31.55835,-1.044536,-3.001146
testid,31.776,-1.044536,-3.001146
testid,31.99828,-1.044536,-3.001146
testid,32.22723,-1.044536,-3.001146
testid,32.44209,-1.044536,-3.001146
testid,32.65204,-2.02626,-3.007522
testid,32.87482,-2.02626,-3.007522
testid,33.09577,-2.02626,-3.007522
testid,33.32924,-2.02626,-3.007522
testid,33.54084,-2.02626,-3.007522
testid,33.76639,-2.02626,-3.007522
testid,33.98247,-2.02626,-3.007522
testid,34.21659,-2.526454,0.7373862
testid,34.43693,-2.526454,0.7373862
testid,34.65721,-2.526454,0.7373862
testid,34.8643,-2.526454,0.7373862
testid,35.09508,-2.526455,0.7373857
testid,35.3082,-2.526455,0.7373861
testid,35.55725,-2.526455,0.7373861
testid,35.77055,-2.526455,0.7373861
testid,35.97998,-2.526455,0.7373861
testid,36.19445,-2.526455,0.7373857
testid,36.40665,-2.526455,0.7373863
testid,36.62116,-2.526454,0.7373862
testid,36.84195,-2.526454,0.7373862
testid,37.05902,-2.526454,0.7373862
testid,37.26774,-2.526455,0.7373853
testid,37.47849,-2.526455,0.7373853
testid,37.71214,-2.526455,0.7373853
testid,37.97773,-2.526455,0.7373853
testid,38.20459,-2.526455,0.7373853
testid,38.42579,-2.526455,0.7373853
testid,38.66164,-2.526455,0.7373853
testid,38.90591,-2.526455,0.7373853
testid,39.14996,-2.526455,0.7373853
testid,39.37214,-2.526457,0.7373686
testid,39.59457,-2.526461,0.7373509
testid,39.8229,-2.526463,0.7373355
testid,40.06137,-2.526465,0.7373008
testid,40.30579,-2.526468,0.7372954
testid,40.52857,-2.526461,0.7372984
testid,40.77265,-2.526465,0.7372717
testid,41.03025,-2.526467,0.7372568
testid,41.2619,-2.526474,0.7372242
testid,41.48435,-2.526477,0.7372029
testid,41.72932,-2.526479,0.7371693
testid,41.97407,-2.526482,0.7371385
testid,42.23938,-2.526482,0.7371155
