ID,Hand,XPos,YPos,ZPos,Time
testid,Right,0.3597365,1.215144,0.2993849,18.91894
testid,Left,-0.1369805,1.037561,0.3606163,18.95233
testid,Right,0.3553613,1.244541,0.2974129,18.95233
testid,Left,-0.1377199,1.036426,0.3603165,18.98417
testid,Right,0.3492474,1.269009,0.2961657,18.98417
testid,Left,-0.1379063,1.035874,0.3603888,19.01741
testid,Right,0.3424515,1.286748,0.2962273,19.01741
testid,Left,-0.1381782,1.034873,0.3604319,19.05021
testid,Right,0.3348152,1.297426,0.2976039,19.05021
testid,Left,-0.1379193,1.034641,0.3605776,19.08389
testid,Right,0.3270801,1.303276,0.2995726,19.08389
testid,Left,-0.137023,1.034535,0.3613157,19.11708
testid,Right,0.3179506,1.305244,0.3022973,19.11708
testid,Left,-0.1355367,1.035353,0.3622666,19.15076
testid,Right,0.3129003,1.303782,0.3045679,19.15076
testid,Left,-0.134524,1.036597,0.362968,19.18426
testid,Right,0.3107085,1.299727,0.3072286,19.18426
testid,Left,-0.1336944,1.037876,0.3633815,19.21741
testid,Right,0.3101533,1.294822,0.3096925,19.21741
testid,Left,-0.133236,1.039196,0.3634912,19.25067
testid,Right,0.313143,1.290545,0.3103154,19.25067
testid,Left,-0.1336131,1.040287,0.363358,19.28406
testid,Right,0.3163202,1.287519,0.3105313,19.28406
testid,Left,-0.1348369,1.040624,0.3629177,19.31736
testid,Right,0.3177764,1.286402,0.3103195,19.31736
testid,Left,-0.137337,1.040563,0.3620353,19.35094
testid,Right,0.3185593,1.286436,0.309783,19.35094
testid,Left,-0.1407066,1.039512,0.3609582,19.38424
testid,Right,0.3208174,1.286554,0.3090577,19.38424
testid,Left,-0.1441212,1.03772,0.3596402,19.4176
testid,Right,0.3215164,1.287003,0.3090252,19.4176
testid,Left,-0.1472522,1.035796,0.3580048,19.45111
testid,Right,0.3214956,1.287452,0.3087322,19.45111
testid,Left,-0.1497799,1.034013,0.3562879,19.48463
testid,Right,0.3222595,1.287795,0.308167,19.48463
testid,Left,-0.1516592,1.032542,0.3545496,19.51892
testid,Right,0.323169,1.287755,0.307959,19.51892
testid,Left,-0.1528241,1.031559,0.3530781,19.55004
testid,Right,0.3226393,1.2874,0.3082339,19.55004
testid,Left,-0.1530469,1.031202,0.3521044,19.58341
testid,Right,0.3228461,1.287309,0.3079365,19.58341
testid,Left,-0.1527811,1.03117,0.3516541,19.617
testid,Right,0.3224661,1.287324,0.3077754,19.617
testid,Left,-0.1524536,1.030975,0.3509294,19.6508
testid,Right,0.3213091,1.28787,0.3078424,19.6508
testid,Left,-0.1518381,1.030947,0.3505349,19.68436
testid,Right,0.3211792,1.288213,0.3074881,19.68436
testid,Left,-0.1511465,1.031072,0.350394,19.71689
testid,Right,0.3212584,1.28837,0.3071942,19.71689
testid,Left,-0.1498899,1.03154,0.3504262,19.75006
testid,Right,0.3213086,1.28861,0.3071167,19.75006
testid,Left,-0.1490042,1.031938,0.3505301,19.78346
testid,Right,0.3216966,1.289191,0.3069081,19.78346
testid,Left,-0.1481354,1.032356,0.3508443,19.81701
testid,Right,0.3221565,1.289396,0.306888,19.81701
testid,Left,-0.1470668,1.032879,0.3512701,19.85029
testid,Right,0.3223318,1.289341,0.3070426,19.85029
testid,Left,-0.1464425,1.033311,0.3515091,19.88361
testid,Right,0.3227291,1.289566,0.3072581,19.88361
testid,Left,-0.1457731,1.033859,0.3518419,19.91706
testid,Right,0.3230572,1.289414,0.3070387,19.91706
testid,Left,-0.1454836,1.034259,0.351833,19.94928
testid,Right,0.3235114,1.289393,0.3068698,19.94928
testid,Left,-0.1452918,1.034646,0.3519025,19.98284
testid,Right,0.3239553,1.289162,0.306824,19.98284
testid,Left,-0.1452415,1.034732,0.3518607,20.01662
testid,Right,0.324286,1.288842,0.3067332,20.01662
testid,Left,-0.1452909,1.034533,0.351572,20.05029
testid,Right,0.3246956,1.288245,0.306936,20.05029
testid,Left,-0.1453828,1.034245,0.3513807,20.0837
testid,Right,0.3250508,1.287998,0.3069306,20.0837
testid,Left,-0.1454419,1.033981,0.3512076,20.11735
testid,Right,0.3265419,1.287931,0.307074,20.11735
testid,Left,-0.1454253,1.033893,0.3510546,20.14918
testid,Right,0.326826,1.288184,0.3069863,20.14918
testid,Left,-0.1454054,1.033996,0.3510869,20.18244
testid,Right,0.3269502,1.288381,0.3068319,20.18244
testid,Left,-0.1453102,1.034079,0.3511781,20.21673
testid,Right,0.3276307,1.289142,0.3066095,20.21673
testid,Left,-0.1450548,1.034101,0.3511696,20.24964
testid,Right,0.3278599,1.289444,0.3063653,20.24964
testid,Left,-0.1447942,1.034179,0.3512235,20.2831
testid,Right,0.3279958,1.289388,0.3063249,20.2831
testid,Left,-0.1443283,1.034313,0.3512187,20.31729
testid,Right,0.3286352,1.288879,0.3067026,20.31729
testid,Left,-0.1440383,1.034313,0.351288,20.34982
testid,Right,0.3295524,1.288078,0.306781,20.34982
testid,Left,-0.1436339,1.034335,0.3515084,20.3827
testid,Right,0.3291706,1.287378,0.3070374,20.3827
testid,Left,-0.1432373,1.034494,0.3516871,20.4161
testid,Right,0.3296467,1.284714,0.3081882,20.4161
testid,Left,-0.1429209,1.034568,0.3517359,20.44973
testid,Right,0.331203,1.28038,0.3095644,20.44973
testid,Left,-0.1427575,1.03442,0.3517361,20.48308
testid,Right,0.3329851,1.273098,0.3124079,20.48308
testid,Left,-0.1424566,1.033895,0.3515732,20.51671
testid,Right,0.3364345,1.260215,0.3175232,20.51671
testid,Left,-0.1420903,1.033076,0.3514766,20.54996
testid,Right,0.3422987,1.239541,0.3242011,20.54996
testid,Left,-0.1416914,1.032475,0.3515868,20.58295
testid,Right,0.3457936,1.215018,0.3307557,20.58295
testid,Left,-0.1411239,1.032055,0.3516852,20.61642
testid,Right,0.3476793,1.187123,0.3353114,20.61642
testid,Left,-0.1403487,1.031947,0.3517205,20.64985
testid,Right,0.3480308,1.158368,0.3374082,20.64985
testid,Left,-0.139726,1.032293,0.3520819,20.68331
testid,Right,0.3465726,1.13001,0.3366166,20.68331
testid,Left,-0.1392001,1.032764,0.3522555,20.71647
testid,Right,0.3435132,1.104775,0.3338471,20.71647
testid,Left,-0.1392386,1.032899,0.3525227,20.75067
testid,Right,0.3405291,1.084852,0.329857,20.75067
testid,Left,-0.1394331,1.032951,0.3526254,20.78299
testid,Right,0.3382054,1.070332,0.3261037,20.78299
testid,Left,-0.1399254,1.033053,0.3526291,20.81415
testid,Right,0.3355066,1.061034,0.3238013,20.81415
testid,Left,-0.1408904,1.03315,0.3525301,20.84755
testid,Right,0.3342952,1.056488,0.321357,20.84755
testid,Left,-0.1420496,1.032983,0.3522725,20.87915
testid,Right,0.3340729,1.05619,0.3204818,20.87915
testid,Left,-0.1435169,1.032692,0.35201,20.91287
testid,Right,0.3340455,1.057625,0.3212384,20.91287
testid,Left,-0.1448238,1.032384,0.3518866,20.9454
testid,Right,0.3339453,1.05858,0.3220488,20.9454
testid,Left,-0.1454816,1.032014,0.3519665,20.9793
testid,Right,0.3345085,1.061423,0.3231462,20.9793
testid,Left,-0.1458848,1.031572,0.3520471,21.0104
testid,Right,0.3350439,1.065118,0.3251232,21.0104
testid,Left,-0.1458326,1.03147,0.3523785,21.05293
testid,Right,0.3370937,1.069532,0.3263497,21.05293
testid,Left,-0.1453955,1.031569,0.352781,21.08611
testid,Right,0.3382508,1.072746,0.3275951,21.08611
testid,Left,-0.144143,1.03212,0.3535056,21.12012
testid,Right,0.3399503,1.07576,0.3281457,21.12012
testid,Left,-0.1426384,1.032817,0.3542022,21.15036
testid,Right,0.3415972,1.078698,0.3285312,21.15036
testid,Left,-0.1415243,1.033301,0.3548068,21.18163
testid,Right,0.3432738,1.08175,0.3289654,21.18163
testid,Left,-0.1402612,1.033934,0.3556061,21.21469
testid,Right,0.3452647,1.084744,0.3288948,21.21469
testid,Left,-0.1393822,1.034384,0.3561767,21.2473
testid,Right,0.3473329,1.087697,0.3285218,21.2473
testid,Left,-0.1386603,1.034876,0.3566467,21.27933
testid,Right,0.3497538,1.091137,0.3280832,21.27933
testid,Left,-0.1383234,1.035248,0.3571129,21.31165
testid,Right,0.3524569,1.094296,0.3273976,21.31165
testid,Left,-0.138239,1.035576,0.3576329,21.34471
testid,Right,0.3532092,1.094915,0.3269297,21.34471
testid,Left,-0.1383053,1.035803,0.358046,21.37742
testid,Right,0.3548492,1.096418,0.3266442,21.37742
testid,Left,-0.1385056,1.035971,0.3583741,21.40968
testid,Right,0.3564151,1.097054,0.3261099,21.40968
testid,Left,-0.1387278,1.036059,0.3586821,21.44048
testid,Right,0.3569812,1.096392,0.3256744,21.44048
testid,Left,-0.1388494,1.03618,0.3588959,21.47297
testid,Right,0.3564008,1.095237,0.3263084,21.47297
testid,Left,-0.1388446,1.036386,0.3589832,21.50577
testid,Right,0.3543503,1.092982,0.3271011,21.50577
testid,Left,-0.1389262,1.036582,0.3587624,21.53899
testid,Right,0.3498581,1.089988,0.3287792,21.53899
testid,Left,-0.139124,1.036806,0.3579999,21.5717
testid,Right,0.3431126,1.087454,0.3314744,21.5717
testid,Left,-0.1396884,1.037214,0.3563188,21.60434
testid,Right,0.3317316,1.085607,0.3364299,21.60434
testid,Left,-0.1416158,1.038339,0.3542123,21.63801
testid,Right,0.3147509,1.084475,0.3429601,21.63801
testid,Left,-0.1446138,1.040187,0.3520328,21.67074
testid,Right,0.2952352,1.084511,0.3484401,21.67074
testid,Left,-0.1485122,1.042016,0.3492147,21.70309
testid,Right,0.2736702,1.086177,0.3535126,21.70309
testid,Left,-0.1538025,1.043603,0.3454935,21.73671
testid,Right,0.2487594,1.089075,0.3579887,21.73671
testid,Left,-0.1602122,1.04547,0.3408498,21.76818
testid,Right,0.2212183,1.091023,0.3608814,21.76818
testid,Left,-0.1653403,1.047484,0.3370042,21.80091
testid,Right,0.2022301,1.091807,0.3609608,21.80091
testid,Left,-0.1729589,1.050338,0.3306825,21.83319
testid,Right,0.1728476,1.094446,0.359941,21.83319
testid,Left,-0.1860681,1.053478,0.3177848,21.87741
testid,Right,0.1225668,1.100117,0.352895,21.87741
testid,Left,-0.1915711,1.05429,0.3108223,21.90815
testid,Right,0.1041099,1.10168,0.3472582,21.90815
testid,Left,-0.1997157,1.055644,0.2999918,21.94326
testid,Right,0.07839961,1.104296,0.3398896,21.94326
testid,Left,-0.2078225,1.056651,0.2881072,21.97311
testid,Right,0.05228702,1.108655,0.3297614,21.97311
testid,Left,-0.2159961,1.05693,0.2749085,22.00448
testid,Right,0.02897478,1.114441,0.3187099,22.00448
testid,Left,-0.2242859,1.05627,0.2602225,22.03948
testid,Right,0.009013501,1.1196,0.3100942,22.03948
testid,Left,-0.2327965,1.05549,0.2445606,22.07536
testid,Right,-0.00941164,1.12355,0.3015116,22.07536
testid,Left,-0.2477399,1.051434,0.2116708,22.13484
testid,Right,-0.0406501,1.134978,0.2873421,22.13484
testid,Left,-0.2570775,1.04575,0.1830482,22.18935
testid,Right,-0.06106023,1.145605,0.279463,22.18935
testid,Left,-0.2592525,1.04333,0.1723705,22.22009
testid,Right,-0.06742296,1.149742,0.2758394,22.22009
testid,Left,-0.2626821,1.039729,0.1559417,22.25184
testid,Right,-0.07696693,1.155269,0.2717111,22.25184
testid,Left,-0.2648556,1.03643,0.1408937,22.2846
testid,Right,-0.08458031,1.159719,0.2682069,22.2846
testid,Left,-0.2665409,1.031717,0.1196953,22.33324
testid,Right,-0.09425031,1.163666,0.2642207,22.33324
testid,Left,-0.2668908,1.029032,0.1100565,22.3726
testid,Right,-0.09929658,1.161952,0.2650591,22.3726
testid,Left,-0.2673392,1.02742,0.1030655,22.40891
testid,Right,-0.1029682,1.161626,0.2656813,22.40891
testid,Left,-0.2678769,1.02675,0.09788036,22.43875
testid,Right,-0.1048641,1.161583,0.2650061,22.43875
testid,Left,-0.2688537,1.026532,0.09476642,22.46916
testid,Right,-0.108573,1.165401,0.2683979,22.46916
testid,Left,-0.2707281,1.026821,0.094649,22.50582
testid,Right,-0.1139429,1.173859,0.2753172,22.50582
testid,Left,-0.2726271,1.027325,0.0950668,22.53611
testid,Right,-0.1176412,1.186831,0.2795419,22.53611
testid,Left,-0.2760983,1.028787,0.09749267,22.57814
testid,Right,-0.1227205,1.212524,0.2849877,22.57814
testid,Left,-0.2788706,1.030431,0.1007532,22.61138
testid,Right,-0.1240573,1.237049,0.286515,22.61138
testid,Left,-0.2838978,1.034254,0.1087659,22.67595
testid,Right,-0.1212815,1.282868,0.2874041,22.67595
testid,Left,-0.2854848,1.035459,0.1120971,22.70894
testid,Right,-0.1205489,1.291738,0.2844324,22.70894
testid,Left,-0.2873039,1.036991,0.1163865,22.74139
testid,Right,-0.1203326,1.302846,0.2799671,22.74139
testid,Left,-0.2889255,1.038299,0.1206059,22.77218
testid,Right,-0.1220795,1.309118,0.2768484,22.77218
testid,Left,-0.2903723,1.039359,0.1244882,22.80608
testid,Right,-0.1244596,1.311683,0.2741837,22.80608
testid,Left,-0.2913873,1.040153,0.1276581,22.83964
testid,Right,-0.1265938,1.311997,0.2704843,22.83964
testid,Left,-0.2922347,1.040622,0.1304677,22.87074
testid,Right,-0.1292673,1.309779,0.2666853,22.87074
testid,Left,-0.2930342,1.04078,0.1326636,22.90209
testid,Right,-0.1317315,1.306708,0.2640385,22.90209
testid,Left,-0.293895,1.040718,0.134228,22.93564
testid,Right,-0.1329049,1.304566,0.2629826,22.93564
testid,Left,-0.2948521,1.040539,0.1358116,22.96482
testid,Right,-0.1327216,1.303175,0.261028,22.96482
testid,Left,-0.2958192,1.040321,0.1374213,22.99629
testid,Right,-0.1323124,1.301107,0.2591513,22.99629
testid,Left,-0.2969701,1.040036,0.1383772,23.02853
testid,Right,-0.1324155,1.300271,0.2650253,23.02853
testid,Left,-0.297999,1.040022,0.1394418,23.06123
testid,Right,-0.1322132,1.301073,0.2690327,23.06123
testid,Left,-0.2984579,1.040174,0.1403032,23.09385
testid,Right,-0.130584,1.301503,0.2585041,23.09385
testid,Left,-0.2983067,1.039626,0.1412536,23.12708
testid,Right,-0.1293389,1.301532,0.2488802,23.12708
testid,Left,-0.2971216,1.037605,0.1419207,23.1636
testid,Right,-0.129875,1.300644,0.2494316,23.1636
testid,Left,-0.2966913,1.037324,0.1428933,23.19339
testid,Right,-0.1316282,1.299901,0.2565142,23.19339
testid,Left,-0.2958968,1.038073,0.1433873,23.2236
testid,Right,-0.1339808,1.300316,0.2609608,23.2236
testid,Left,-0.2951758,1.038006,0.1442816,23.28989
testid,Right,-0.1360381,1.300561,0.2398598,23.28989
testid,Left,-0.2930973,1.034686,0.1426791,23.33309
testid,Right,-0.1363369,1.296427,0.2379597,23.33309
testid,Left,-0.2930112,1.035868,0.1437972,23.36747
testid,Right,-0.1377872,1.296024,0.248753,23.36747
testid,Left,-0.2924168,1.038613,0.1419203,23.42018
testid,Right,-0.1388692,1.296517,0.252729,23.42018
testid,Left,-0.2928524,1.037218,0.1413367,23.45074
testid,Right,-0.1377826,1.298998,0.2490878,23.45074
testid,Left,-0.2928342,1.034497,0.1388128,23.48308
testid,Right,-0.1354624,1.300704,0.2475806,23.48308
