ID,ObjectName,Start,End
testid,Sphere,22.26699,25.98271
testid,Capsule,26.53872,26.63146
testid,Cylinder,26.96823,27.06832
testid,Cylinder,27.58919,29.75522
testid,Cube,31.06439,33.74408
testid,Sphere,34.19236,38.03461
testid,Sphere,38.30516,38.99427
