ID,Hand,XPos,YPos,ZPos,Time
jacqui,Left,-0.5137302,1.123298,0.4672334,18.81432
jacqui,Right,-0.204291,1.084891,0.3713159,18.81432
jacqui,Left,-0.4991617,1.122535,0.468579,18.88167
jacqui,Right,-0.1914178,1.121635,0.3542685,18.88167
jacqui,Left,-0.4845777,1.120266,0.4712035,18.94987
jacqui,Right,-0.1774586,1.179224,0.3265624,18.94987
jacqui,Left,-0.4695558,1.1191,0.4739957,19.01365
jacqui,Right,-0.1624483,1.260087,0.284618,19.01365
jacqui,Left,-0.4576961,1.122499,0.4764963,19.08194
jacqui,Right,-0.1519819,1.347624,0.2399513,19.08194
jacqui,Left,-0.4462236,1.125459,0.4791841,19.14854
jacqui,Right,-0.1425698,1.413004,0.2072132,19.14854
jacqui,Left,-0.4352502,1.127269,0.4825014,19.21496
jacqui,Right,-0.1233029,1.444128,0.2047677,19.21496
jacqui,Left,-0.4283293,1.133458,0.4839965,19.28232
jacqui,Right,-0.09482683,1.456071,0.2114544,19.28232
jacqui,Left,-0.4263662,1.13688,0.4857513,19.34974
jacqui,Right,-0.06930296,1.456595,0.2251654,19.34974
jacqui,Left,-0.4286343,1.135075,0.4862053,19.41682
jacqui,Right,-0.03228227,1.448339,0.240832,19.41682
jacqui,Left,-0.4323333,1.131989,0.4897705,19.46354
jacqui,Right,-0.0187131,1.441939,0.2466008,19.46354
jacqui,Left,-0.4369411,1.129159,0.4912568,19.50962
jacqui,Right,0.007540278,1.432274,0.2578496,19.50962
jacqui,Left,-0.4442953,1.125816,0.4926699,19.56064
jacqui,Right,0.03913782,1.416442,0.2748972,19.56064
jacqui,Left,-0.4526718,1.122312,0.4937494,19.61454
jacqui,Right,0.07344794,1.396317,0.2971354,19.61454
jacqui,Left,-0.4653068,1.117176,0.4952935,19.68295
jacqui,Right,0.1084814,1.364304,0.3394306,19.68295
jacqui,Left,-0.4731856,1.115305,0.4960281,19.73567
jacqui,Right,0.1202317,1.345557,0.3696755,19.73567
jacqui,Left,-0.4815892,1.114928,0.4964187,19.78125
jacqui,Right,0.1251337,1.329401,0.4016804,19.78125
jacqui,Left,-0.4928089,1.11585,0.4958635,19.83516
jacqui,Right,0.1226566,1.310528,0.4477643,19.83516
jacqui,Left,-0.5040018,1.118411,0.4937163,19.88721
jacqui,Right,0.1073948,1.295032,0.4984781,19.88721
jacqui,Left,-0.5160891,1.121302,0.4903255,19.94361
