UserID,Time,XPos,ZPos
jacqui,16.19632,0.0002094805,-0.000143826
jacqui,16.5272,0.0002094805,-0.000143826
jacqui,16.838,0.0002094507,-0.0001434088
jacqui,17.15567,0.0002094507,-0.0001434088
jacqui,17.57601,-2.669202,2.47203
jacqui,17.90494,-2.669202,2.47203
jacqui,18.24216,-2.669202,2.47203
jacqui,18.57818,-2.669202,2.47203
jacqui,18.90791,-2.669202,2.47203
jacqui,19.2381,-2.669202,2.47203
jacqui,19.56064,-2.669184,2.472022
jacqui,19.87317,-2.669184,2.472022
jacqui,20.19011,-2.669184,2.472022
jacqui,20.52847,-2.669184,2.472022
jacqui,20.84356,-2.669184,2.472022
jacqui,21.16255,-2.669184,2.472022
jacqui,21.49942,-2.669184,2.472022
jacqui,21.83486,-2.669184,2.472022
jacqui,22.17684,-2.669184,2.472022
jacqui,22.52547,-2.669184,2.472022
jacqui,22.8636,-2.669184,2.472022
jacqui,23.20284,-2.669184,2.472022
jacqui,23.54709,-2.669184,2.472022
jacqui,23.88119,-2.669184,2.472022
jacqui,24.21496,-2.669184,2.472022
jacqui,24.54861,-2.669184,2.472022
jacqui,24.8746,-2.669184,2.472022
jacqui,25.19072,-2.669184,2.472022
jacqui,25.52696,-2.669184,2.472022
jacqui,25.85759,-2.669184,2.472022
jacqui,26.19446,-2.669184,2.472022
jacqui,26.53773,-2.669184,2.472022
jacqui,26.86324,-2.669184,2.472022
jacqui,27.19318,-2.669184,2.472022
jacqui,27.53367,-2.669184,2.472022
jacqui,27.86218,-2.669184,2.472022
jacqui,28.18866,-2.669184,2.472022
jacqui,28.50931,-2.669184,2.472022
jacqui,28.84673,-2.669184,2.472022
jacqui,29.17864,-2.669184,2.472022
jacqui,29.52397,-2.669184,2.472022
jacqui,29.84624,-2.265311,-1.953889
jacqui,30.18666,-2.265311,-1.953889
jacqui,30.50824,-2.265311,-1.953889
jacqui,30.83997,-2.265311,-1.953889
jacqui,31.17481,-2.043586,-3.194554
jacqui,31.50615,-2.043586,-3.194554
jacqui,31.8275,-2.043586,-3.194554
jacqui,32.14634,-2.043586,-3.194554
jacqui,32.46729,-2.043586,-3.194554
jacqui,32.79504,-2.043586,-3.194554
jacqui,33.13396,-2.043586,-3.194554
jacqui,33.45862,-2.043586,-3.194554
jacqui,33.79285,-2.043586,-3.194554
jacqui,34.12575,-2.043586,-3.194554
jacqui,34.51702,-2.043586,-3.194554
jacqui,34.86014,-2.043586,-3.194554
jacqui,35.18491,-2.043586,-3.194554
jacqui,35.49769,-2.043586,-3.194554
jacqui,35.83796,-2.043586,-3.194554
jacqui,36.17252,-2.043586,-3.194554
jacqui,36.50717,-2.043586,-3.194554
jacqui,36.84196,-2.043586,-3.194554
jacqui,37.17336,-2.043586,-3.194554
jacqui,37.55737,-2.043586,-3.194554
jacqui,37.9343,-2.043586,-3.194554
jacqui,38.27626,-2.043586,-3.194554
jacqui,38.62497,-2.043585,-3.194561
jacqui,38.95078,-2.043585,-3.194564
jacqui,39.28669,-2.043585,-3.194565
jacqui,39.63678,-2.043584,-3.194565
jacqui,39.9718,-2.043584,-3.194565
jacqui,40.29251,-2.043584,-3.194565
jacqui,40.62029,-2.043584,-3.194565
jacqui,40.95676,1.657721,-2.833366
jacqui,41.28584,1.657721,-2.833366
jacqui,41.60222,1.657721,-2.833366
jacqui,41.93927,1.657721,-2.833366
jacqui,42.28325,1.657721,-2.833366
jacqui,42.6149,1.657721,-2.833366
jacqui,42.98368,1.657721,-2.833366
jacqui,43.30829,1.657721,-2.833366
jacqui,43.63776,1.657721,-2.833366
jacqui,43.96266,1.657721,-2.833366
jacqui,44.27646,1.657721,-2.833366
jacqui,44.62273,1.657721,-2.833366
jacqui,44.96873,1.657721,-2.833366
jacqui,45.29666,1.657721,-2.833366
jacqui,45.64776,1.657721,-2.833366
jacqui,45.97817,1.657721,-2.833366
jacqui,46.30199,1.657721,-2.833366
jacqui,46.64433,2.753244,1.442069
jacqui,46.95918,2.753244,1.442069
jacqui,47.27999,2.753244,1.442069
jacqui,47.62464,2.753244,1.442069
jacqui,47.93772,2.753244,1.442069
jacqui,48.26727,2.753244,1.442069
jacqui,48.61068,2.753243,1.44207
jacqui,48.92852,2.753243,1.44207
jacqui,49.25307,2.753243,1.44207
jacqui,49.58513,-1.460507,1.717089
jacqui,49.90714,-1.460507,1.717089
jacqui,50.22649,-1.460507,1.717089
jacqui,50.55927,-1.460507,1.717089
jacqui,50.89218,-1.460507,1.717089
jacqui,51.23642,-1.460507,1.717088
jacqui,51.56284,-1.460507,1.717088
jacqui,51.88078,-1.460506,1.717086
jacqui,52.19151,-1.460506,1.717082
jacqui,52.51207,-1.460505,1.717081
jacqui,52.83542,-1.460506,1.717082
jacqui,53.16785,-1.460505,1.717079
jacqui,53.49696,-1.460505,1.717077
jacqui,53.83348,-1.460505,1.717078
jacqui,54.15614,-1.460505,1.717078
jacqui,54.50522,-1.460505,1.717078
jacqui,54.84942,-1.460505,1.717078
jacqui,55.18421,-2.390688,2.337101
jacqui,55.50935,-2.390688,2.337101
jacqui,55.84643,-2.390688,2.337101
jacqui,56.18544,-2.390688,2.337101
jacqui,56.51179,-2.390688,2.337098
jacqui,56.83636,-2.390688,2.337098
jacqui,57.15651,-2.390688,2.337098
jacqui,57.48342,-2.390688,2.337098
jacqui,57.8031,-2.390688,2.337098
jacqui,58.13569,-2.390688,2.337098
jacqui,58.4729,-2.390688,2.337098
jacqui,58.80935,-2.390688,2.337098
jacqui,59.1381,-2.390688,2.337098
jacqui,59.46956,-2.390688,2.337098
jacqui,59.79947,-2.390688,2.337098
jacqui,60.13297,-2.390688,2.337098
jacqui,60.46395,-2.390688,2.337098
jacqui,60.77913,-2.390686,2.337096
jacqui,61.115,-2.390685,2.337095
jacqui,61.42447,-2.390685,2.337095
jacqui,61.761,-2.390685,2.337095
jacqui,62.07261,-2.390685,2.337095
jacqui,62.39067,-2.390685,2.337095
jacqui,62.72919,-2.390685,2.337095
jacqui,63.0577,-2.390685,2.337095
jacqui,63.37021,-2.390685,2.337095
jacqui,63.68296,-2.390685,2.337095
jacqui,64.00272,-2.390685,2.337095
jacqui,64.33704,-2.390685,2.337095
jacqui,64.66005,-2.390685,2.337095
jacqui,64.99334,-2.390685,2.337095
jacqui,65.31659,-2.390685,2.337095
jacqui,65.64692,-2.390685,2.337095
jacqui,65.97602,-2.390685,2.337095
jacqui,66.28963,-2.390685,2.337095
jacqui,66.60384,-2.390685,2.337095
jacqui,66.92842,-2.390685,2.337095
jacqui,67.2595,-2.390685,2.337095
